Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10BOX475SQSM,"Box,4.75"""" Sq.Surface Mount Box",EA,53.69,24.97,,,,23.56
10BOX475SQSMEBA,"4.75"" Mounting Box, 2 piece Design, Easy Battery Access",EA,55.93,26.17,,,,24.69
10BOX6RNDFM,"6"""" Round Flush Mount Box",EA,55.93,26.17,,,,24.69
10BOX6RNDSM,"6"""" Round Surface Mount Box",EA,55.93,26.17,,,,24.69
10BOX6SQFM,"Box, 6"""" Square, Flush Mount Assembled With 2 Brass Inserts",EA,55.93,26.17,,,,24.69
10BOX6SQSM,"Box, 6"""" Square, Surface Mount, Assembled With 2 Brass Inserts",EA,55.93,26.17,,,,24.69
10BOXDG4H,"Box,Double Gang,Non-Metallic",EA,16.61,7.64,,,,7.2
10BOXDGSM,"Box, Double Gang Surface Mount Black Plastic",EA,44.45,20.65,,,,19.48
10BOXJAMBFM,"Box, Jamb FLUSH mount Flush Mount Box",EA,15.48,7.34,,,,6.92
10BOXJAMBSM,"Box,Jamb SM,S/S Plates Surface Mount Box",EA,15.48,7.34,,,,6.92
10BOXJAMBST,"Box,Jamb 4.5"""" X 1.75"""" Push plate",EA,15.48,7.34,,,,6.92
10BR2-900,"10BR2-900, Wireless Logic Module, 900mhz",EA,216.99,102.28,,,,96.49
10BR3X,"10BR3X Module, 3 relays, Washroom Functions",EA,163.93,77.64,,,,73.24
10BRINGC,"Universal Backplate,S/S Modify",EA,18.85,8.53,,,,8.05
10CAPKIT,SuperScan End Cap Kit,EA,10.74,5.11,,,,4.82
10CAPKITQUAD,Quadscan Endcap Kit left & right endcaps + screws,EA,9.62,4.99,,,,4.71
10CDA,10CDA Curved Door Accessory for IXIODT1 / IXIOST,EA,31.38,17.4,,,,16.42
10COLIBRI1,10COLIBRI1 Motion Sensor,EA,326.23,153.83,,,,145.13
10COMBOPLATE,Combo Plate Assy on/off Switch Maintained Switch Option,EA,283.66,134.16,,,,126.57
10COMBOPLATEMOM,Combo Plate Ass,EA,283.66,134.16,,,,126.57
10CYLINDERKA,"Cylinder, Keyswitch, KA KEYED ALIKE",EA,41.96,19.92,,,,18.79
10CYLINDERKD,"Cylinder, Keyswitch, KD Keyed Differently",EA,41.96,19.92,,,,18.79
10DOORSWITCH,On -Off Hold Switch Assembly,EA,53.19,25.3,,,,23.87
10DPG50,"Door Pressure Gauge,50 lb.",EA,169.55,80.03,,,,75.5
10EABA,Eagle Artek Bracket Accessory,EA,41.52,21.06,,,,19.87
10EACA,EAGLE ARTEK CEILING ACCESSORY - WHITE,EA,71.37,35.34,,,,33.34
10EACA-BLK,EAGLE ARTEK CEILING ACCESSORY -BLACK,EA,71.37,35.34,,,,33.34
10EAGLEARTEK,Eagle Artek Motion Sensor,EA,297.32,141.74,,,,133.72
10EAGLESPACER,Eagle Mounting Spacer,EA,38.2,17.93,,,,16.92
10EAGLESPACERV,Eagle Mounting Spacer WITH CAMERA,EA,497.75,234.35,,,,221.09
10EARA,Eagle Artek Rain Accessory,EA,50.31,23.78,,,,22.43
10EARETROFIT,EAGLE ARTEK RETROFIT,EA,15.9,15.9,,,,15.0
10EBUTTONCOMBO,"10EBUTTONCOMBO, ""Push for Emergency Assistance"" Combo Switch",EA,364.05,165.0,,,,155.66
10EMERGENCYKIT,BEA Emergency Kit,EA,633.71,149.16,,,,140.72
10EMR475,"4.75"""" Round Panther Plate assy With Text",EA,225.37,107.31,,,,101.24
10EMR4751,"4.75"""" Round Panther Plate assy with text and logo",EA,223.37,106.25,,,,100.24
10EMR4751-900,"Panther, 900mhz, 4.75"" Round, TEXT & LOGO",EA,242.47,115.22,,,,108.7
10EMR475-900,"Panther, 900mhz, 4.75"" Round, TEXT ONLY",EA,244.47,116.28,,,,109.7
10EMR475L,"4.75"""" Round Panther Plate assy With Logo",EA,223.37,106.25,,,,100.24
10EMR475L-900,"Panther, 900mhz, 4.75"" Round, LOGO ONLY",EA,226.47,106.74,,,,100.7
10EMR6,"6"""" Round Panther plate assy. with Text Only",EA,227.37,108.37,,,,102.24
10EMR61,"6"""" Round Panther plate assy. with text and logo",EA,221.37,105.19,,,,99.24
